lyhenne;tieteellinen;suomalainen;ruotsalainen
ANSCAE/ANSROS;Anser caerulescens / Anser rossii;lumihanhi / eskimohanhi;snögås / dvärgsnögås
ANSROS;Anser rossii;eskimohanhi;dvärgsnögås
ANSCYG;Anser cygnoides;joutsenhanhi;svangås
BRASP;Branta sp;kirjohanhilaji;Branta (släktet)
BRACAN;Branta canadensis;kanadanhanhi;kanadagås
BRAHUT;Branta hutchincii;pikkukanadanhanhi;dvärgkanadagås
BRAHUTMIN;Branta hutchincii minima;pikkukanadanhanhi (alalaji minima);dvärgkanadagås (rasen minima)
BRACANXBRALEU;Branta canadensis X Branta leucopsis;kanadanhanhi X valkoposkihanhi;kanadagås X vitkindad gås
BRACAN/BRAHUTXBRALEU;Branta canadensis / Branta hutchincii x Branta leucopsis;kanadanhanhi / pikkukanadanhanhi x valkoposkihanhi;kanadagås / dvärgkanadagås X vitkindad gås
BRALEU;Branta leucopsis;valkoposkihanhi;vitkindad gås
BRALEUXBRARUF;Branta leucopsis x Branta ruficollis;valkoposkihanhi x punakaulahanhi;vitkindad gås x rödhalsad gås
BRABER;Branta bernicla;sepelhanhi;prutgås
BRABERHRO;Branta bernicla hrota;sepelhanhi (alalaji hrota);prutgås (rasen hrota)
BRABERBER;Branta bernicla bernicla;sepelhanhi (alalaji bernicla);prutgås (rasen bernicla)
BRABERNIG;Branta bernicla nigricans;sepelhanhi (alalaji nigricans);prutgås (rasen nigricans)
BRARUF;Branta ruficollis;punakaulahanhi;rödhalsad gås
ALOAEG;Alopochen aegyptiaca;afrikanhanhi;nilgås
XAB;hybrida Anserini;hanhiristeymä;gåshybrid
TADFER;Tadorna ferruginea;ruostesorsa;rostand
TADTAD;Tadorna tadorna;ristisorsa;gravand
AIXSP;Aix sp;mandariinisorsalaji;Aix (släktet)
AIXSPO;Aix sponsa;morsiosorsa;brudand
AIXGAL;Aix galericulata;mandariinisorsa;mandarinand
ANASP;Anas sp;sorsalaji;Anas (släktet)
ANAPEN;Anas penelope;haapana;bläsand
ANAPENXANAAME;Anas penelope X Anas americana;haapana X amerikanhaapana;bläsand X amerikansk bläsand
ANAPENXANASTR;Anas penelope X Anas strepera;haapana X harmaasorsa;bläsand X snatterand
ANAPENXANAPLA;Anas penelope X Anas platyrhynchos;haapana X sinisorsa;bläsand X gräsand
ANAPENXANAACU;Anas penelope X Anas acuta;haapana X jouhisorsa;bläsand X stjärtand
ANAAME;Anas americana;amerikanhaapana;amerikansk bläsand
ANAFAL;Anas falcata;sirppisorsa;praktand
ANASTR;Anas strepera;harmaasorsa;snatterand
ANASTRXANAPLA;Anas strepera X Anas platyrhynchos;harmaasorsa X sinisorsa;snatterand X gräsand
ANAFOR;Anas formosa;siperiantavi;gulkindad kricka
ANACRE;Anas crecca;tavi;kricka
ANACRE/ANAQUE;Anas crecca / Anas querquedula;tavi / heinätavi;kricka / årta
ANACREXANACAR;Anas crecca X Anas carolinensis;tavi X amerikantavi;kricka X amerikansk kricka
ANACREXANAPLA;Anas crecca X Anas platyrhynchos;tavi X sinisorsa;kricka X gräsand
ANACAR;Anas carolinensis;amerikantavi;amerikansk kricka
ANAPLA;Anas platyrhynchos;sinisorsa;gräsand
ANAPLAXANAACU;Anas platyrhynchos X Anas acuta;sinisorsa X jouhisorsa;gräsand X stjärtand
ANAPLAXANACLY;Anas platyrhynchos X Anas clypeata;sinisorsa X lapasorsa;gräsand X skedand
ANARUB;Anas rubripes;nokisorsa;svartand
ANAACU;Anas acuta;jouhisorsa;stjärtand
ANAQUE;Anas querquedula;heinätavi;Årta
ANADIS;Anas discors;sinisiipitavi;blåvingad årta
ANACLY;Anas clypeata;lapasorsa;skedand
ANASIB;Anas sibilatrix;patagonianhaapana;patagonisk bläsand
ANABAH;Anas bahamensis;valkoposkisorsa;bahamaand
ANACYA;Anas cyanoptera;punatavi;kanelårta
XANA;hybrida Anatini;sorsaristeymä;simandhybrid
NETRUF;Netta rufina;punapäänarsku;rödhuvad dykand
AYTSP;Aythya sp;sotkalaji;Aythya (släktet)
AYTFER;Aythya ferina;punasotka;brunand
AYTFERXAYTFUL;Aythya ferina X Aythya fuligula;punasotka X tukkasotka;brunand X vigg
AYTCOL;Aythya collaris;amerikantukkasotka;ringand
AYTCOLXAYTFUL;Aythya collaris X Aythya fuligula;amerikantukkasotka X tukkasotka;ringand X vigg
AYTNYR;Aythya nyroca;ruskosotka;vitögd dykand
AYTFUL;Aythya fuligula;tukkasotka;vigg
AYTFUL/AYTMAR;Aythya fuligula / Aythya marila;tukkasotka / lapasotka;vigg / bergand
AYTFULXAYTMAR;Aythya fuligula X Aythya marila;tukkasotka X lapasotka;vigg X bergand
AYTMAR;Aythya marila;lapasotka;bergand
AYTAFF;Aythya affinis;pikkulapasotka;mindre bergand
XAYT;hybrida Aythya;sotkaristeymä;dykandhybrid
SOMSP;Somateria sp;haahkalaji;Somateria (släktet)
SOMMOL;Somateria mollissima;haahka;ejder
SOMMOLXSOMSPE;Somateria mollissima X Somateria spectabilis;haahka X kyhmyhaahka;ejder X praktejder
SOMMOLXMERMER;Somateria mollissima X Mergus merganser;haahka X isokoskelo;ejder X storskrake
SOMSPE;Somateria spectabilis;kyhmyhaahka;praktejder
POLSTE;Polysticta stelleri;allihaahka;alförrädare
HISHIS;Histrionicus histrionicus;virta-alli;strömand
CLAHYE;Clangula hyemalis;alli;alfågel
MELSP;Melanitta sp;mustalintulaji;Melanitta (släktet)
MELNIG;Melanitta nigra;mustalintu;sjöorre
MELNIGNIG;Melanitta nigra nigra;mustalintu (alalaji nigra);sjöorre (rasen nigra)
MELAME;Melanitta americana;amerikanmustalintu;amerikansk sjöorre
MELPER;Melanitta perspicillata;pilkkaniska;vitnackad svärta
MELFUS;Melanitta fusca;pilkkasiipi;svärta
MELFUSFUS;Melanitta fusca fusca;pilkkasiipi (alalaji fusca);svärta (rasen fusca)
MELDEG;Melanitta deglandi;kyhmypilkkasiipi;knölsvärta
MELDEGDEG;Melanitta deglandi deglandi;kyhmypilkkasiipi (alalaji deglandi);knölsvärta (rasen deglandi)
MELDEGSTE;Melanitta deglandi stejnegeri;kyhmypilkkasiipi (alalaji stejnegeri);knölsvärta (rasen stejnegeri)
BUCALB;Bucephala albeola;pikkutelkkä;buffelhuvud
BUCCLA;Bucephala clangula;telkkä;knipa
BUCCLAXMERALB;Bucephala clangula X Mergus albellus;telkkä X uivelo;knipa X salskrake
MERSP;Mergus sp;koskelolaji;Mergus (släktet)
MERCUC;Mergus cucullatus;harjakoskelo;kamskrake
MERALB;Mergellus albellus;uivelo;salskrake
MERSER;Mergus serrator;tukkakoskelo;småskrake
MERSER/MERMER;Mergus serrator / Mergus merganser;tukkakoskelo / isokoskelo;småskrake / storskrake
MERMER;Mergus merganser;isokoskelo;storskrake
OXYSP;Oxyura sp;kuparisorsalaji;Oxyura (släktet)
